word;nSub;ValenceM;ValenceSD;ArousalM;ArousalSD;HappyM;HappySD;AngerM;AngerSD;SadM;SadSD;FearM;FearSD;DisgustM;DisgustSD;ConcretenessM;ConcretenessSD
TERBİYESİZ;39;1.837837838;1.067539058;5.810810811;2.390232878;3.138888889;8.99889764;68.33333333;26.74856471;37.75;34.98601762;21.11111111;28.86894305;49.23529412;38.36511896;42.35294118;35.50918136
ULAŞIM;40;4.263157895;2.114099521;5.684210526;2.337765891;21.32258065;26.52594591;56.375;36.74651618;36.83333333;37.45165466;46.06451613;37.8531685;49.35483871;38.4504429;70.29411765;28.93517249
EDEPSİZ;34;4.205882353;2.648949612;4.264705882;2.666388132;9.72;17.81039023;56.51851852;34.88373036;33.64;37.22217081;21.12;28.64920011;49.44444444;37.76886521;39.96774194;34.14038066
KÖLE;35;1.852941176;1.971499244;6;1.954016842;6.5625;19.70252563;70.65625;32.68876632;68.39393939;33.10205752;61.06666667;35.5109826;49.61290323;41.93461372;75.46666667;22.41571698
TERMİT;38;3.921052632;1.978008539;4.263157895;2.757635204;13.37037037;20.2221283;24.03448276;30.96020805;20.59259259;26.34279826;38.82142857;37.25990156;49.62068966;44.09763015;82.12903226;24.2524802
KAVGA;39;1.973684211;1.479350517;7;1.93125082;7.823529412;20.1802042;75.62162162;29.34124074;57;36.03252499;67.19444444;28.02531452;49.8;35.59229923;60.62162162;33.36111455
SALDIRI;35;1.828571429;1.524037098;6.257142857;2.266674905;4.033333333;15.39252692;71.59375;30.89405348;72.96666667;27.05993773;70.61290323;34.00948634;49.86666667;41.40942199;71.89655172;29.7709648
AYIP;36;3;2.028370211;5.194444444;2.290594988;10.06666667;19.15982387;43.10344828;33.78222782;47.37931034;32.83771111;41.46666667;34.03216869;49.96428571;36.29864005;26.03333333;27.03699041
SITMA;37;5.162162162;3.78970472;4.891891892;2.643480279;2.121212121;8.510132107;17.67741935;29.49958994;61.67647059;30.29523474;58.24242424;35.64059334;50.02857143;34.18675846;77.60606061;26.90137008
DÜŞMANCA;37;2.432432432;1.90817744;5.918918919;2.325921303;10.87878788;19.45629329;74.37142857;21.18418627;61.93939394;28.90819455;62.57142857;22.92864342;50.03030303;36.82516535;31.28125;28.17598425
TOKAT;31;1.741935484;0.964978132;5.709677419;2.369156649;3.5;7.753753262;70.56666667;28.52667636;60.63333333;30.63746111;54.7;30.79425607;50.25;33.29066714;78.27586207;24.79472374
İDRAR;37;4.567567568;1.893564254;4.72972973;2.142799942;16;25.20288049;9.76;19.30086354;7.24;15.0589951;13.92307692;23.20503924;50.3;32.902311;90.40625;14.1463762
HARAÇ;38;1.810810811;1.26574172;5.054054054;2.57062407;3.516129032;10.0162234;71.9375;32.62092886;42.89655172;36.09842184;64.46875;35.00044643;50.35483871;39.10374951;59.96969697;33.80410926
ZEHİR;36;4.171428571;3.338595287;6.028571429;2.628863703;8;19.42562325;56.93548387;36.27297937;45.78125;36.9041779;71.44117647;32.90499748;50.5;36.60336667;79.52941176;26.47610162
STRES;34;1.676470588;1.036327672;7.029411765;1.898728348;7.375;12.24415595;61.03125;33.12681827;70.09677419;27.48011989;69.51515152;29.55410421;50.51612903;37.81610853;37.52941176;38.03764905
CEHALET;38;1.486486486;0.731118687;6.135135135;2.41709378;10.66666667;25.43824221;63.68571429;31.00926942;64.05882353;33.77549872;55.94285714;36.70626077;50.63888889;40.95722701;36.20588235;36.59920467
ÖRGÜT;39;3.552631579;1.912934189;5.684210526;2.054727748;20.83870968;24.08470715;51.63333333;32.00483081;42.82142857;33.24215705;50.17857143;32.25138937;50.68965517;34.29400557;61.4375;30.95567851
ALKOLİK;33;2.46875;1.60612487;4.625;2.151518593;10.60714286;18.74455829;50.33333333;37.09551082;59.53571429;32.81540079;45.73076923;31.00394516;50.96428571;33.99180963;74.68965517;28.40913265
