Words,Translation,Valence_Mean,ET,Arousal_Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET
bateau,boat,6.19,1.79,4.97,2.57,5.65,1.46,4.24,2.66,6.65,1.95,5.60,2.37
beau,beautiful,7.86,1.26,5.65,2.46,7.00,1.41,4.75,2.49,7.96,1.21,5.75,2.45
bébé ,baby,6.64,2.30,5.60,2.76,5.17,2.53,4.56,2.31,7.47,1.70,6.19,2.84
bec ,beak,4.97,1.61,3.49,2.34,5.47,1.18,3.41,1.97,4.55,1.82,3.55,2.67
berceau,cradle,6.47,2.04,4.55,2.69,5.58,2.27,4.67,2.67,6.63,1.97,4.52,2.72
biberon ,feeding-bottle,5.84,2.19,4.41,2.69,5.94,1.68,3.29,2.42,5.75,2.59,5.35,2.60
bibliothèque ,bookshelf,6.00,1.75,4.00,2.78,6.24,1.68,4.29,3.18,5.80,1.82,3.75,2.45
biche ,deer,5.76,2.06,3.97,2.82,5.76,1.44,3.29,2.71,5.75,2.51,4.55,2.86
bien ,good,7.74,1.14,5.48,2.59,7.56,0.98,5.39,2.23,7.84,1.22,5.53,2.81
bille,marble,5.89,1.45,3.43,2.03,6.06,1.39,4.18,1.98,5.75,1.52,2.80,1.91
biscuit ,biscuit,7.16,1.57,5.14,2.19,7.47,1.50,5.18,2.16,6.90,1.62,5.10,2.27
blague,joke,7.86,1.09,6.20,2.06,7.78,1.17,6.11,2.27,7.91,1.06,6.25,1.97
blanc,white,5.97,1.68,2.96,2.12,5.67,1.73,3.00,1.32,6.01,1.68,2.96,2.21
blé ,wheat,5.34,2.04,3.05,2.00,6.24,1.64,3.47,2.12,4.62,2.09,2.71,1.87
bleu,blue,7.00,1.41,4.14,2.37,7.24,1.25,5.00,2.52,6.80,1.54,3.40,2.01
bocal,jar,5.03,1.14,2.49,2.04,5.47,1.07,2.41,1.94,4.65,1.09,2.55,2.16
bois ,wood,6.02,1.73,3.82,2.41,6.06,1.39,4.44,2.38,6.00,1.92,3.47,2.40
boîte,box,5.70,1.43,4.28,2.86,5.89,1.53,5.06,2.84,5.59,1.39,3.84,2.83
bol,bowl,4.97,1.72,3.05,2.21,5.53,1.23,3.00,2.57,4.50,1.96,3.10,1.92
bombe ,bomb,2.87,2.02,6.18,2.71,2.94,1.60,5.94,2.79,2.81,2.34,6.38,2.69
bonbon ,candy,7.65,1.30,5.57,2.67,7.82,1.07,5.29,2.80,7.50,1.47,5.80,2.61
bonheur,happiness,8.39,1.20,7.00,2.65,7.94,1.56,5.76,3.07,8.76,0.62,8.00,1.76
bonhomme,fellow,6.00,2.04,4.00,2.28,5.65,2.03,4.18,2.67,6.30,2.05,3.86,1.96
bonnet ,hat,5.42,1.93,3.13,2.03,5.59,1.46,3.59,1.62,5.29,2.26,2.77,2.28
bosse ,bump,4.05,1.91,3.54,2.30,4.71,2.08,3.76,2.44,3.50,1.61,3.35,2.23
botte,boot,5.68,2.04,3.39,2.19,5.29,1.79,3.29,2.20,6.00,2.21,3.48,2.23
bouche,mouth,6.57,1.68,5.30,2.81,6.41,1.50,4.06,2.82,6.70,1.84,6.35,2.39
boue ,mud,3.59,2.17,3.22,2.58,4.00,2.21,3.18,2.35,3.25,2.12,3.25,2.83
bouée ,buoy,5.47,2.23,3.59,2.43,5.24,2.31,3.25,2.29,5.67,2.20,3.86,2.56
bougie,candle,6.37,2.07,3.55,2.53,6.06,2.30,3.24,2.91,6.62,1.88,3.81,2.23
bouilloire,kettle,5.03,1.38,3.94,2.32,5.17,0.58,3.67,2.61,5.00,1.48,3.98,2.29
boule,bowl,5.19,1.54,3.57,2.68,5.24,1.52,3.12,2.47,5.15,1.60,3.95,2.86
bout ,piece,5.10,1.49,3.34,2.20,5.72,1.53,3.78,2.32,4.75,1.37,3.09,2.13
bouteille,bottle,5.84,1.59,4.03,2.59,6.29,1.90,4.65,2.52,5.45,1.19,3.50,2.59
bouton,button,3.43,2.17,4.49,2.60,4.24,1.99,4.65,2.45,2.75,2.12,4.35,2.78
bracelet ,bracelet,5.62,2.06,3.54,2.32,4.76,1.68,2.71,1.86,6.35,2.11,4.25,2.47
branche ,branch,5.30,1.07,3.32,2.24,5.39,0.70,4.39,2.33,5.25,1.24,2.72,1.99
bras,arm,5.92,2.12,4.03,2.78,5.18,1.81,3.00,1.97,6.52,2.20,4.86,3.09
bravoure,bravery,7.62,1.39,5.47,2.51,7.44,1.24,5.33,3.24,7.65,1.41,5.49,2.43
brique,brick,4.73,1.54,2.76,2.20,5.35,1.22,2.88,2.52,4.20,1.61,2.65,1.95
briquet,lighter,4.84,1.94,4.19,2.40,5.25,0.71,2.75,1.67,4.79,2.03,4.35,2.43
brosse,brush,4.95,1.63,3.00,1.97,5.00,1.54,3.00,1.94,4.90,1.74,3.00,2.05
brouette ,wheelbarrow,5.36,1.38,3.66,2.30,5.61,1.46,4.67,2.45,5.22,1.34,3.09,2.04
bruit,noise,4.22,2.26,4.95,2.58,4.59,2.29,5.06,2.75,3.90,2.25,4.85,2.50
brun,brown,5.70,1.78,3.65,2.38,5.53,1.94,3.18,2.27,5.85,1.66,4.05,2.46
bûche,log,5.95,1.68,3.51,2.08,5.71,2.02,4.24,2.41,6.15,1.35,2.90,1.55
bulle ,bubble,6.39,1.91,3.82,2.59,6.06,1.98,3.18,2.30,6.67,1.85,4.33,2.74
bureau,desk,4.08,1.44,2.65,1.69,4.53,1.33,2.59,1.80,3.70,1.45,2.70,1.63
burin,chisel,4.05,1.65,4.39,2.45,4.67,0.65,4.17,2.72,3.97,1.77,4.43,2.42
bus,bus,3.65,2.15,3.19,2.64,3.41,1.84,2.65,2.06,3.85,2.41,3.65,3.03
cacahuète,peanut,6.10,1.63,3.88,2.34,5.89,1.49,4.39,2.23,6.22,1.72,3.59,2.39
cactus,cactus,4.29,2.05,4.42,2.33,4.65,2.00,5.53,2.18,4.00,2.10,3.52,2.09
cadeau ,present,7.86,1.51,6.68,2.61,7.24,1.82,6.18,2.63,8.40,0.94,7.10,2.59
cadenas,padlock,4.12,1.61,3.39,2.24,4.44,1.51,4.22,1.86,4.08,1.63,3.29,2.28
cafard,roach,2.09,1.45,5.00,2.70,3.25,1.67,3.75,2.12,1.96,1.38,5.14,2.73
café,coffee,5.88,2.16,5.69,2.88,6.08,1.78,4.67,2.64,5.85,2.23,5.88,2.90
cafetière ,coffeepot,5.41,2.44,4.05,2.98,6.18,2.40,4.59,3.00,4.75,2.34,3.60,2.96
cage ,cage,2.53,1.75,4.37,2.91,2.59,1.62,4.59,3.02,2.48,1.89,4.19,2.87
cahier ,exercise book,4.50,2.08,2.82,1.66,4.59,2.12,2.53,1.81,4.43,2.09,3.05,1.53
caisse ,crate,4.73,1.61,3.19,2.56,5.00,2.03,3.12,2.42,4.50,1.15,3.25,2.73
cake,fruit cake,6.19,1.97,4.51,2.53,5.94,1.75,4.59,2.62,6.40,2.16,4.45,2.52
calculatrice,calculator,4.38,1.82,3.90,2.47,4.78,2.11,3.22,1.86,4.32,1.79,3.99,2.54
calendrier ,calendar,5.08,1.50,3.58,2.37,4.50,1.50,3.56,1.98,5.41,1.41,3.59,2.59
calme,quietness,7.32,1.49,3.24,2.66,7.65,1.11,3.65,2.45,7.05,1.73,2.90,2.85
calorie,calorie,3.27,2.02,4.87,2.56,4.75,1.98,3.38,2.26,3.10,1.97,5.04,2.55
caméra,camera,5.75,1.42,4.55,2.25,5.42,1.31,4.25,2.53,5.82,1.43,4.60,2.21
camion,truck,4.49,1.88,3.22,2.33,4.59,2.00,3.65,2.34,4.40,1.82,2.85,2.32
canapé,couch,6.41,1.88,3.38,2.42,6.24,1.82,3.24,2.84,6.55,1.96,3.50,2.06
canard,duck,5.14,1.89,3.41,2.81,5.41,1.70,2.71,2.73,4.90,2.05,4.00,2.81
canne ,cane,4.22,2.10,3.08,2.53,4.29,2.08,3.12,2.26,4.15,2.16,3.05,2.80
canon,cannon,4.78,2.57,5.95,2.76,4.89,2.37,6.11,2.71,4.76,2.62,5.93,2.79
capacité,capacity,7.19,1.59,5.19,2.37,6.50,1.77,4.50,2.39,7.27,1.57,5.27,2.37
cape,cape,5.97,1.79,4.00,2.69,6.06,1.64,4.29,2.76,5.90,1.94,3.75,2.67
capuche ,hood,5.19,1.60,3.22,2.45,5.47,1.55,2.88,2.37,4.95,1.64,3.50,2.54
caravane,trailer,5.17,1.69,4.40,2.40,5.33,2.06,4.42,3.23,5.14,1.63,4.40,2.24
carnet ,pad,4.46,1.95,3.03,2.23,4.35,2.37,2.88,2.37,4.55,1.57,3.15,2.16
carotte,carrot,5.96,1.91,3.88,2.29,5.50,1.79,4.17,2.26,6.22,1.95,3.72,2.33
carré,square,5.28,1.18,2.80,2.11,5.50,1.29,3.72,2.32,5.16,1.11,2.28,1.82
carrosse ,carriage,5.59,1.82,3.46,2.52,5.00,1.97,3.41,2.55,6.10,1.55,3.50,2.56
cartable,schoolbag,4.88,1.08,3.65,2.06,4.78,1.09,4.22,1.86,4.90,1.08,3.57,2.08
carte ,playing card,6.14,1.23,3.86,2.62,6.00,1.06,4.06,2.68,6.25,1.37,3.70,2.62
cartouche  ,cartridge,4.50,1.96,3.95,3.01,4.82,2.19,4.76,3.35,4.24,1.76,3.29,2.61
case,square,4.68,1.45,2.97,2.27,5.35,1.00,3.12,2.26,4.10,1.55,2.85,2.32
casque,helmet,5.30,1.39,3.59,2.52,5.35,1.22,3.24,2.51,5.25,1.55,3.90,2.55
casquette,cap,5.18,1.97,3.16,2.19,5.24,1.52,3.12,2.23,5.14,2.31,3.19,2.20
casserole,pot,4.65,1.90,3.11,2.00,4.59,1.87,3.18,2.16,4.70,1.98,3.05,1.90
cassette ,cassette,5.19,1.78,3.19,2.05,5.06,2.01,3.41,2.09,5.30,1.59,3.00,2.05
castor,beaver,5.67,1.64,3.78,2.26,5.38,0.74,2.75,1.98,5.70,1.71,3.90,2.28
catalyse,catalysis,4.54,1.70,4.08,2.27,4.67,1.44,3.25,2.09,4.52,1.75,4.23,2.28
catholique,Catholic,4.61,1.85,3.94,2.51,3.78,1.92,5.33,2.78,4.72,1.83,3.75,2.43
cauchemar,nightmare,2.08,1.69,6.27,2.51,2.71,2.02,5.88,1.90,1.55,1.15,6.60,2.95
ceinture,belt,5.40,1.34,3.30,2.28,5.83,1.54,4.33,2.45,5.16,1.17,2.72,1.99
céleri,celery,4.54,1.85,2.96,1.96,4.25,1.49,2.75,1.98,4.58,1.89,2.99,1.97
cendrier,ashtray,3.27,2.27,4.86,2.71,3.18,2.16,5.29,2.62,3.35,2.41,4.50,2.80
cercle ,circle,5.47,1.36,3.03,2.25,5.56,1.87,3.06,2.30,5.40,0.75,3.00,2.27
cerf,deer,6.46,1.37,4.08,2.45,6.59,1.28,4.41,2.06,6.35,1.46,3.80,2.76
cerf-volant,kite,5.92,1.71,3.97,2.44,6.00,1.58,3.06,2.16,5.85,1.84,4.75,2.45
cerise,cherry,7.24,1.92,5.08,2.35,7.35,1.66,4.71,2.47,7.15,2.16,5.40,2.26
certain,sure,6.00,1.60,4.27,2.23,6.08,1.31,4.42,2.39,5.98,1.65,4.25,2.22
cerveau,brain,6.71,1.53,5.21,2.57,7.00,1.41,4.00,2.12,6.68,1.55,5.37,2.59
chagrin,grief,1.90,1.20,4.10,2.95,2.67,1.46,4.78,2.39,1.47,0.76,3.72,3.20
