Words,Translation,Valence_Mean,ET,Arousal_Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET
homard,lobster,5.55,1.87,4.01,2.20,6.17,1.70,4.58,2.50,5.44,1.89,3.91,2.15
homme,man,6.86,2.18,5.97,2.88,6.00,2.09,4.53,3.18,7.60,2.01,7.20,1.94
horloge,clock,4.57,1.83,4.16,2.23,5.00,2.12,4.53,2.18,4.20,1.51,3.85,2.28
horreur,horror,3.72,2.87,5.20,2.86,5.56,2.62,4.94,2.58,2.69,2.49,5.34,3.03
hotte ,hood,5.43,1.46,4.11,2.46,5.59,1.66,4.35,2.57,5.30,1.30,3.90,2.40
houx,holly,5.66,1.32,3.66,2.07,5.00,0.50,4.00,1.58,5.75,1.38,3.61,2.14
huître,oyster,3.77,2.38,3.75,2.30,4.50,2.78,3.63,2.45,3.69,2.34,3.76,2.30
humeur,mood,6.53,1.67,5.05,2.43,6.00,1.81,3.83,3.04,6.63,1.64,5.28,2.26
humour,humor,8.43,1.28,6.24,2.71,8.06,1.71,6.71,2.59,8.75,0.64,5.85,2.81
hypothèse,hypothesis,5.45,1.16,3.90,2.04,5.22,1.20,4.44,2.19,5.49,1.17,3.82,2.02
idée,idea,7.00,1.70,5.00,2.89,7.18,1.55,5.41,3.48,6.85,1.84,4.65,2.30
île ,island,7.94,1.28,6.42,2.31,7.56,1.38,5.72,2.47,8.16,1.19,6.81,2.16
illusion,illusion,4.67,2.05,4.91,2.18,5.38,2.07,4.38,2.20,4.59,2.05,4.97,2.19
imagination,imagination,7.73,1.30,6.03,2.79,7.53,1.23,5.29,3.12,7.90,1.37,6.65,2.39
immensité,immensity,6.45,2.06,5.69,2.56,6.58,2.39,6.33,2.64,6.43,2.02,5.57,2.54
index,index,4.99,0.87,3.21,1.96,4.56,1.33,4.00,1.73,5.04,0.78,3.10,1.97
indien ,indian,5.81,1.66,4.00,2.32,6.06,1.52,4.71,2.26,5.60,1.79,3.40,2.26
infini,infinity,6.53,1.70,4.82,2.63,5.88,1.25,4.00,2.83,6.61,1.74,4.92,2.61
infirmière ,nurse,5.92,2.23,4.70,2.83,6.41,2.48,5.24,3.03,5.50,1.96,4.25,2.63
injustice,injustice,1.39,0.78,7.44,2.04,1.75,0.97,7.75,1.48,1.46,1.30,7.38,2.13
intelligence,intelligence,7.08,1.83,5.84,2.22,6.71,2.14,5.35,2.37,7.40,1.50,6.25,2.05
interrupteur,switch,4.83,0.75,3.66,2.25,4.78,0.67,3.78,1.86,4.84,0.77,3.65,2.31
intuition,intuition,7.11,1.33,5.09,2.23,6.25,1.04,4.88,2.42,7.21,1.33,5.11,2.23
ironie,sarcasm,6.16,1.99,5.73,2.25,6.50,1.98,6.08,2.19,6.09,2.00,5.66,2.27
isolement,isolation,2.09,1.33,4.47,2.83,3.89,0.93,4.56,1.67,1.85,1.19,4.46,2.96
jalousie,jealousy,2.68,1.91,6.18,2.92,3.89,1.81,5.94,2.60,2.00,1.63,6.31,3.12
jambe,leg,5.46,1.35,3.46,2.60,5.82,1.47,4.24,2.95,5.15,1.18,2.80,2.12
jambon ,ham,6.73,1.48,3.84,2.53,6.82,1.70,3.94,2.75,6.65,1.31,3.75,2.40
jardin,garden,6.81,1.75,3.89,2.62,6.94,1.56,4.53,2.76,6.70,1.92,3.35,2.43
jaune,yellow,5.89,1.31,3.95,2.04,5.76,0.90,3.94,2.05,6.00,1.59,3.95,2.09
jeu,play,7.70,1.15,6.70,2.18,7.88,1.05,6.65,2.34,7.55,1.23,6.75,2.10
jeune,young person,7.05,1.53,5.70,2.59,6.82,1.91,5.47,2.67,7.25,1.12,5.90,2.57
joie,joy,8.58,0.73,7.50,1.95,8.39,0.85,6.89,2.22,8.69,0.64,7.84,1.72
joli,pretty,7.85,1.18,5.27,2.41,7.75,1.58,5.75,1.58,7.86,1.14,5.21,2.49
jouet,toy,6.86,1.44,5.66,2.10,7.11,1.57,6.39,2.06,6.72,1.37,5.25,2.03
journal ,newspaper,4.97,1.82,3.30,2.36,5.35,1.93,3.06,2.49,4.65,1.69,3.50,2.28
jugement,judgement,4.03,1.79,4.91,2.23,5.33,1.23,4.58,2.61,3.78,1.78,4.97,2.17
jumelles,binoculars,5.68,2.43,3.82,2.81,6.29,2.20,3.82,2.63,5.19,2.54,3.81,3.01
jungle,jungle,6.59,2.20,5.49,2.92,7.53,1.62,5.88,2.96,5.80,2.35,5.15,2.92
jupe,skirt,6.30,2.12,4.65,2.67,6.06,2.19,4.65,2.98,6.50,2.09,4.65,2.46
jus ,juice,6.81,1.56,4.59,2.15,7.24,1.20,4.65,2.26,6.45,1.76,4.55,2.11
justice,justice,5.65,2.61,5.51,2.57,5.65,2.69,4.82,2.92,5.65,2.60,6.10,2.13
kangourou,kangaroo,6.57,1.80,4.95,3.14,6.24,1.30,4.29,3.04,6.85,2.13,5.50,3.20
klaxon ,horn,4.41,2.50,4.92,3.09,3.88,2.67,4.82,3.17,4.85,2.32,5.00,3.11
lacet ,shoelace,4.84,0.60,2.54,1.97,4.71,0.85,2.65,2.03,4.95,0.22,2.45,1.96
laid,ugly,2.53,1.42,4.05,2.33,3.00,2.40,4.89,2.89,2.47,1.25,3.94,2.25
laine,wool,5.61,2.18,2.92,2.21,5.65,1.93,2.41,1.77,5.57,2.40,3.33,2.48
laisse ,leash,4.52,1.58,3.32,2.35,4.61,1.24,3.83,2.20,4.47,1.76,3.03,2.42
lait,milk,5.47,2.51,3.08,2.15,6.12,1.90,3.06,1.78,4.95,2.85,3.10,2.45
laitue,lettuce,5.59,1.53,3.10,2.02,5.13,1.13,2.38,1.92,5.65,1.57,3.18,2.02
lampe,lamp,5.39,1.65,3.16,1.90,5.35,1.73,3.59,2.27,5.43,1.63,2.81,1.50
landau,baby carriage,5.59,2.39,3.78,2.58,5.12,2.26,3.71,2.37,6.00,2.47,3.85,2.81
langue ,tongue,6.22,1.75,4.92,2.64,6.29,1.53,3.71,2.42,6.15,1.95,5.95,2.42
lapin,rabbit,6.84,1.68,4.62,2.54,6.53,1.84,4.71,2.42,7.10,1.52,4.55,2.70
large,wide,4.52,1.49,3.66,2.09,4.67,0.78,3.67,2.35,4.49,1.59,3.66,2.06
larme ,tear,2.49,1.82,5.41,2.75,2.88,1.96,5.53,2.72,2.15,1.66,5.30,2.85
lassitude,lassitude,2.44,1.45,3.78,2.52,3.22,1.30,4.11,2.47,2.34,1.44,3.74,2.54
lavabo ,washbasin,5.04,1.16,2.74,1.85,4.83,0.99,3.28,1.99,5.16,1.25,2.44,1.72
léger,light,6.57,1.42,3.20,2.03,5.38,0.92,2.63,1.69,6.70,1.41,3.27,2.06
légume,vegetable,6.03,1.95,3.83,2.21,5.67,1.56,3.42,2.07,6.09,2.01,3.91,2.25
lent,slow,3.87,1.67,3.09,2.43,4.00,1.41,4.78,2.86,3.85,1.71,2.87,2.30
léopard,leopard,6.11,2.00,5.35,2.78,6.24,1.60,4.94,2.77,6.00,2.32,5.70,2.81
lettre ,letter,6.08,1.72,4.30,2.28,5.59,1.91,3.88,2.57,6.50,1.47,4.65,2.01
lèvres,lips,7.76,1.16,6.81,1.82,8.24,0.97,6.65,2.23,7.35,1.18,6.95,1.43
lézard,lizard,5.62,1.53,3.57,1.89,5.29,1.69,3.59,1.80,5.90,1.37,3.55,2.01
libellule,dragonfly,6.24,1.53,3.68,1.92,6.88,1.45,3.65,1.90,5.70,1.42,3.70,1.98
liberté,freedom,8.24,1.21,6.86,2.68,8.12,1.27,5.88,2.89,8.35,1.18,7.70,2.23
licence,permit,6.62,1.65,5.63,2.38,6.13,2.23,4.75,3.28,6.68,1.58,5.73,2.26
licorne ,unicorn,6.71,1.80,4.47,3.10,6.29,1.90,3.65,2.91,7.05,1.69,5.14,3.15
lieu ,place,5.14,1.48,3.22,2.30,5.12,1.45,2.94,2.11,5.15,1.53,3.45,2.48
ligne,line,4.92,1.23,3.06,2.30,5.06,1.43,4.28,2.76,4.84,1.11,2.38,1.68
limace ,slug,3.76,1.71,3.54,2.32,4.41,1.50,2.94,1.98,3.20,1.70,4.05,2.50
linge,linen,4.65,1.92,2.97,1.91,5.12,1.76,3.35,1.87,4.25,2.00,2.65,1.93
lion,lion,6.70,1.90,5.62,2.72,7.12,1.65,6.12,2.52,6.35,2.06,5.20,2.88
lionceau ,lion cub,6.79,1.99,4.89,2.69,6.59,1.97,4.00,2.52,6.95,2.04,5.62,2.65
lisse,smooth,5.21,1.22,3.26,2.07,5.25,1.22,2.92,2.02,5.20,1.23,3.32,2.08
lit,bed,8.34,1.12,4.84,3.48,8.12,1.11,4.18,3.23,8.52,1.12,5.38,3.65
livre,book,6.16,2.36,4.35,2.63,6.59,2.03,4.82,2.30,5.80,2.61,3.95,2.87
locomotive ,locomotive,5.65,1.87,4.08,2.52,5.94,1.98,4.41,2.76,5.40,1.79,3.80,2.33
loi,law,5.03,1.65,4.48,2.22,5.00,2.00,5.67,2.45,5.03,1.62,4.32,2.16
long,long,4.96,1.70,4.54,2.07,4.75,1.39,4.25,2.19,4.99,1.74,4.58,2.07
longue,long,5.00,1.62,4.09,2.31,5.50,0.90,3.75,2.53,4.91,1.71,4.15,2.28
louche,ladle,5.12,1.33,3.10,2.15,4.94,0.54,3.67,1.94,5.22,1.62,2.78,2.22
loup,wolf,5.54,2.49,5.35,2.50,6.65,1.69,5.76,2.33,4.60,2.70,5.00,2.64
loupe ,magnifying glass,4.33,1.51,2.44,1.55,4.74,1.14,2.78,1.68,4.00,1.70,2.19,1.44
lourd,heavy,3.38,1.33,4.05,2.36,4.44,0.73,4.00,2.00,3.24,1.33,4.06,2.42
luge,sled,6.80,1.62,5.48,2.66,6.72,1.78,5.11,2.87,6.84,1.55,5.69,2.56
lumière,light,6.97,1.50,5.24,2.39,7.24,1.25,5.12,2.55,6.75,1.68,5.35,2.30
lune,moon,6.92,2.03,3.57,2.49,7.06,2.16,3.13,2.73,6.81,1.97,3.90,2.30
lunettes,glasses,4.95,1.70,3.00,2.17,4.53,1.77,2.94,1.82,5.30,1.59,3.05,2.48
luxe,luxury,6.25,2.20,5.23,2.35,6.00,1.51,3.38,1.69,6.28,2.28,5.44,2.33
machine,machine,4.81,1.81,3.76,2.45,4.82,1.70,3.88,2.39,4.80,1.94,3.65,2.56
magicien ,magician,7.00,1.95,4.89,2.83,6.94,1.78,5.18,2.65,7.05,2.11,4.67,3.01
maillot,swimsuit,6.70,1.98,5.11,2.88,5.88,2.18,4.29,2.93,7.40,1.54,5.80,2.71
main,hand,6.05,1.60,4.64,2.44,5.88,1.22,3.65,2.29,6.20,1.88,5.53,2.27
maïs,corn,5.62,1.46,3.03,2.11,5.41,0.87,2.88,2.20,5.80,1.82,3.15,2.08
maison,house,7.08,1.84,4.84,2.66,6.35,2.15,3.88,2.47,7.67,1.32,5.62,2.60
maîtrise,mastery,6.51,1.71,4.27,2.39,7.00,1.71,5.75,3.17,6.42,1.71,4.00,2.14
mal,badly,1.74,1.19,5.83,2.52,3.67,1.32,5.44,2.01,1.49,0.91,5.88,2.58
maladie,illness,1.60,1.03,4.28,3.10,2.22,1.26,4.44,2.73,1.25,0.67,4.19,3.33
malédiction,curse,2.34,1.76,5.90,2.41,3.75,2.38,6.25,3.01,2.18,1.62,5.86,2.36
malheur,misfortune,1.92,1.48,4.35,2.92,1.94,1.64,5.24,2.80,1.90,1.37,3.60,2.87
malice,mischief,5.87,2.12,5.84,2.13,5.00,2.59,6.25,2.01,6.03,2.00,5.77,2.16
malle,trunk,5.05,1.30,3.45,2.30,4.67,1.00,4.00,2.12,5.10,1.33,3.38,2.33
manche,sleeve,4.98,1.36,2.68,1.99,5.33,0.91,3.44,1.76,4.78,1.54,2.25,2.02
manège ,merry-go-round,6.70,1.78,5.68,2.61,6.00,1.84,5.59,2.55,7.30,1.53,5.75,2.73
manque,lack,2.34,1.58,5.51,2.83,3.13,1.55,4.50,1.85,2.25,1.57,5.62,2.91
manteau,coat,5.63,2.45,3.61,2.34,5.82,1.74,3.29,2.02,5.48,2.94,3.86,2.59
mare,pool,4.94,1.45,3.46,2.14,4.83,1.58,3.94,2.10,5.00,1.39,3.19,2.15
marelle ,hopscotch,5.49,1.82,3.89,2.64,4.76,1.75,3.18,2.70,6.10,1.68,4.50,2.50
mariage,wedding,5.49,2.98,5.86,2.83,4.94,2.70,5.59,2.58,5.95,3.19,6.10,3.08
marin ,sailor,4.86,2.16,3.14,2.23,4.88,2.18,3.41,1.91,4.85,2.21,2.90,2.49
marteau,hammer,5.00,1.72,3.27,2.39,5.88,1.58,3.76,2.44,4.25,1.48,2.85,2.32
masque,mask,5.19,1.65,3.89,2.65,5.18,1.51,3.94,2.82,5.20,1.79,3.85,2.58
maths,math,4.46,2.71,3.95,2.39,5.24,2.54,3.71,2.20,3.80,2.75,4.15,2.58
matin,morning,4.11,2.63,4.57,2.84,4.41,2.83,5.12,2.89,3.85,2.50,4.10,2.79
méchanceté,wickedness,2.32,2.15,6.68,2.78,2.82,2.63,6.88,2.64,1.90,1.59,6.50,2.95
mèche ,drill bit,5.35,1.65,3.95,2.79,5.47,1.62,3.35,2.74,5.25,1.71,4.45,2.80
médaille ,medal,7.00,1.44,5.48,2.70,7.33,1.61,5.89,2.63,6.81,1.33,5.25,2.75
médecine,medicine,6.17,2.01,4.75,2.35,5.08,2.61,5.08,2.81,6.37,1.83,4.69,2.27
médicament ,medicine,3.12,1.98,3.42,2.33,3.94,2.18,4.28,2.47,2.66,1.72,2.94,2.14
méduse,jellyfish,3.06,1.77,4.62,2.96,3.22,1.66,4.17,2.53,2.97,1.84,4.88,3.19
mélange,mixture,6.21,1.69,4.51,2.37,6.56,1.88,4.11,2.20,6.16,1.67,4.56,2.40
mémoire,memory,6.86,1.56,4.85,2.27,5.88,1.73,4.38,2.77,6.97,1.51,4.90,2.22
mensonge,lie,2.62,2.15,5.78,2.92,3.47,2.67,5.71,2.97,1.90,1.25,5.85,2.94
menthe,mint,6.24,2.00,4.06,2.55,6.22,2.13,4.67,2.38,6.25,1.95,3.72,2.62
mer ,sea,7.54,2.14,6.19,2.56,6.82,2.60,6.00,2.52,8.15,1.46,6.35,2.64
mère,mother,7.08,2.25,5.16,2.86,6.22,2.32,4.83,2.96,7.56,2.09,5.34,2.84
mesure,measure,4.75,0.81,3.65,1.75,4.83,0.58,3.50,2.07,4.74,0.85,3.68,1.71
méthode,method,5.43,1.40,3.30,1.84,5.22,1.39,3.78,1.92,5.46,1.41,3.24,1.83
mètre ,tape measure,4.50,1.52,2.53,1.67,4.88,1.50,2.71,1.65,4.19,1.50,2.38,1.72
meuble,a piece of furniture,4.86,1.46,3.43,2.33,4.41,1.42,4.00,2.50,5.25,1.41,2.95,2.11
micro ,microphone,5.03,1.79,3.87,2.32,5.47,1.46,4.06,2.68,4.67,1.98,3.71,2.03
miette,crumb,4.36,1.50,3.28,2.09,4.56,1.04,3.39,1.88,4.25,1.70,3.22,2.22
minute,minute,4.92,1.36,3.91,2.05,4.50,1.41,2.75,1.98,4.97,1.35,4.04,2.03
miracle,miracle,8.14,1.35,6.88,2.56,7.50,1.98,5.33,2.90,8.26,1.19,7.17,2.41
miroir ,mirror,5.54,1.59,3.73,2.46,5.24,1.71,4.00,2.35,5.80,1.47,3.50,2.59
miséricorde,mercy,3.65,2.38,4.61,2.36,4.89,1.27,3.22,2.05,3.48,2.45,4.79,2.35
moelleux,soft,7.37,1.42,4.22,2.34,6.13,1.73,3.50,1.51,7.51,1.33,4.30,2.41
moment,moment,5.83,1.31,4.78,2.18,5.75,1.42,4.25,2.60,5.85,1.30,4.88,2.10
monarchie,monarchy,2.97,1.78,4.88,2.38,3.89,1.17,5.44,1.59,2.85,1.81,4.81,2.46
monde ,world,6.28,1.91,5.22,2.84,6.33,1.61,5.44,2.50,6.25,2.08,5.09,3.04
montagne,mountain,6.82,2.13,5.18,2.96,7.41,1.73,5.00,3.20,6.33,2.33,5.33,2.82
montre,watch,5.65,2.02,3.78,2.62,6.12,2.03,4.29,2.87,5.25,1.97,3.35,2.37
morale,morals,5.94,2.13,4.42,2.16,7.00,1.20,4.75,0.89,5.82,2.18,4.38,2.26
moto,motorcycle,5.76,2.24,5.35,2.73,6.06,1.82,5.24,2.88,5.50,2.56,5.45,2.67
mouche,fly,3.70,2.23,5.14,2.83,4.76,2.31,5.24,2.36,2.80,1.77,5.05,3.24
moufle,mitten,4.76,1.77,3.11,2.59,5.12,1.65,3.41,2.60,4.45,1.85,2.85,2.62
moule,mold,5.57,1.98,4.04,2.26,6.17,1.53,4.33,2.77,5.46,2.05,3.98,2.17
moulin,windmill,4.57,1.56,2.84,2.10,4.94,1.03,2.88,2.03,4.25,1.86,2.80,2.21
mousse ,foam,6.16,1.71,3.84,2.24,6.35,1.93,3.94,2.30,6.00,1.52,3.75,2.24
moustache ,mustache,4.44,1.77,3.30,2.27,5.06,1.59,3.94,2.13,4.09,1.80,2.94,2.30
moustique ,mosquito,2.42,1.76,5.38,3.11,3.33,1.97,4.39,2.68,1.91,1.42,5.94,3.23
mouton,sheep,5.41,1.72,3.73,2.71,6.29,1.57,4.06,2.99,4.65,1.50,3.45,2.50
moyen,medium,4.71,1.20,3.40,1.90,4.56,1.33,3.67,2.00,4.74,1.19,3.37,1.90
mur ,wall,4.19,1.58,2.78,2.46,4.29,1.90,3.00,2.92,4.10,1.29,2.60,2.06
muscle,muscle,6.18,1.84,5.16,2.76,5.65,1.73,4.47,2.96,6.62,1.86,5.71,2.51
musique,music,8.49,0.93,6.89,2.64,8.18,1.13,7.12,2.52,8.75,0.64,6.70,2.79
mutation,mutation,4.47,2.04,5.37,2.27,5.13,1.96,5.50,2.14,4.39,2.05,5.35,2.30
nage,swim,6.12,2.05,4.74,2.34,5.56,1.89,4.83,2.26,6.44,2.09,4.69,2.42
nappe,tablecloth,4.73,1.19,2.30,1.68,4.35,1.17,2.06,1.43,5.05,1.15,2.50,1.88
natte ,plaits,5.47,1.87,3.37,2.35,4.94,1.68,3.35,2.23,5.90,1.95,3.38,2.50
nature,nature,6.43,2.33,5.22,2.67,6.41,2.37,4.71,2.80,6.45,2.35,5.65,2.54
neige,snow,7.65,1.46,6.16,2.60,7.71,1.69,6.35,2.50,7.60,1.27,6.00,2.73
neutre,neutral,4.90,0.74,3.49,1.71,4.83,0.58,3.17,1.95,4.91,0.76,3.55,1.68
nez,nose,5.00,1.50,2.94,2.18,5.22,1.63,3.50,2.62,4.88,1.43,2.63,1.86
niche,doghouse,5.19,1.84,3.16,2.46,5.06,1.89,3.00,2.52,5.30,1.84,3.30,2.45
nid,bird nest,5.62,1.62,3.35,1.89,5.53,1.55,4.00,1.90,5.70,1.72,2.80,1.74
nihilisme,nihilism,4.21,1.42,4.01,2.24,4.67,2.00,5.33,2.24,4.15,1.33,3.84,2.20
noblesse,nobility,5.52,1.95,3.87,2.09,4.75,1.28,3.63,2.88,5.61,2.00,3.90,2.01
noeud,knot,4.08,1.75,3.50,2.28,4.35,1.17,3.35,2.42,3.86,2.10,3.62,2.20
noir,black,4.01,2.29,4.52,2.56,5.08,1.83,3.67,2.46,3.82,2.32,4.68,2.57
noix ,walnut,4.81,1.31,3.11,2.13,4.88,0.78,2.88,1.96,4.75,1.65,3.30,2.30
norme,norm,4.63,1.52,3.99,2.33,4.22,1.39,5.78,2.22,4.69,1.54,3.75,2.25
note ,note,4.14,2.04,3.73,2.76,4.53,2.53,3.94,2.77,3.80,1.51,3.55,2.80
nuage,cloud,6.03,2.07,3.51,2.51,5.82,1.94,3.47,2.29,6.20,2.21,3.55,2.74
nuit,night,7.78,1.70,6.73,2.49,7.41,2.00,6.59,2.24,8.10,1.37,6.85,2.74
obscur,obscure,3.62,2.06,4.57,2.54,4.63,0.74,3.63,2.07,3.51,2.13,4.68,2.57
observation,observation,5.66,1.50,4.05,2.21,5.67,1.72,4.25,2.83,5.66,1.47,4.02,2.10
obstination,obstinacy,5.84,1.84,5.50,1.88,5.11,1.27,5.56,1.59,5.94,1.89,5.49,1.93
occident,west,5.33,1.35,4.10,1.86,5.63,0.92,3.25,2.25,5.30,1.39,4.20,1.81
oeil,eye,5.92,1.57,3.54,2.60,5.94,1.56,4.12,2.60,5.90,1.62,3.05,2.56
oeuf ,egg,4.84,2.10,3.03,2.25,5.59,1.80,3.71,2.23,4.20,2.17,2.45,2.16
oie ,goose,4.86,1.99,3.14,2.43,5.65,1.73,3.71,2.31,4.20,1.99,2.65,2.48
oignon,onion,4.24,2.26,3.58,2.46,4.06,2.04,4.33,2.45,4.34,2.40,3.16,2.40
oiseau,bird,6.82,1.83,4.11,2.32,6.82,1.47,3.82,2.38,6.81,2.11,4.33,2.31
olive,olive,5.74,1.57,3.83,2.17,5.92,1.31,3.83,2.41,5.71,1.62,3.83,2.14
oncle,uncle,6.00,1.60,4.22,2.48,5.94,1.39,4.50,2.57,6.03,1.73,4.06,2.46
ongle ,nail,4.68,2.11,3.76,2.34,4.24,1.71,3.12,2.03,5.05,2.36,4.29,2.49
onze,eleven,5.32,1.55,3.97,2.73,5.71,1.61,4.35,2.40,5.00,1.45,3.65,3.01
opinion,opinion,6.79,1.50,5.48,2.21,6.11,1.27,4.33,2.00,6.88,1.51,5.63,2.21
orange,orange,5.92,2.17,4.03,2.75,5.65,2.29,4.29,2.73,6.14,2.10,3.81,2.80
ordre,order,5.28,2.33,5.04,2.43,5.13,1.46,4.75,2.43,5.30,2.42,5.07,2.45
oreille,ear,5.68,1.62,3.68,2.47,6.18,1.70,3.53,2.79,5.25,1.45,3.80,2.24
oreiller ,pillow,7.05,2.16,3.76,2.82,6.88,2.57,3.88,2.93,7.20,1.79,3.65,2.80
orteil,toe,4.84,1.94,3.08,2.37,4.94,2.16,3.41,2.37,4.75,1.77,2.80,2.40
os ,bone,4.30,1.68,3.14,2.29,4.47,1.62,3.65,2.12,4.15,1.76,2.70,2.39
osier,wicker,4.96,1.28,3.50,1.77,5.00,0.85,3.42,1.78,4.95,1.35,3.52,1.78
oubli,oversight,2.65,1.44,5.00,2.67,2.47,1.59,6.06,2.54,2.80,1.32,4.10,2.49
ours,bear,6.00,2.03,5.35,2.57,7.12,1.27,5.59,2.06,5.05,2.09,5.15,2.98
outil,tool,5.23,1.12,3.44,2.07,5.11,1.36,4.33,1.66,5.25,1.10,3.32,2.11
pacifisme,pacifism,7.37,1.66,3.56,2.70,6.75,1.98,3.50,3.16,7.44,1.62,3.56,2.67
pacte,pact,5.78,1.63,4.90,2.14,5.67,1.23,4.33,2.10,5.80,1.70,5.00,2.15
pain,bread,6.51,1.46,3.86,2.39,6.76,1.52,4.88,2.55,6.30,1.42,3.00,1.92
paix,peace,7.70,1.43,4.43,2.56,7.29,1.40,4.59,2.67,8.05,1.39,4.30,2.52
panda,panda,7.24,1.67,4.65,2.72,7.24,1.35,5.06,2.44,7.25,1.94,4.30,2.96
panier,basket,5.12,1.38,3.02,2.19,4.78,1.00,3.33,2.38,5.31,1.53,2.84,2.10
pantalon,pants,5.84,1.39,3.84,2.06,5.56,1.76,4.22,1.99,6.00,1.14,3.63,2.11
paon ,peacock,6.41,1.74,3.70,2.13,6.18,2.10,3.82,2.30,6.60,1.39,3.60,2.04
papier,paper,4.86,1.05,2.54,2.05,4.78,1.22,3.39,2.38,4.91,0.96,2.06,1.70
papillon,butterfly,6.97,1.77,3.92,2.23,6.53,1.94,4.41,2.27,7.35,1.57,3.50,2.16
paquet ,package,5.34,1.96,4.05,2.69,4.88,0.93,3.88,2.00,5.71,2.47,4.19,3.19
parachute,parachute,6.44,1.83,6.51,2.48,6.67,1.50,5.56,2.55,6.41,1.88,6.63,2.47
paradis,paradise,6.65,2.07,4.05,2.75,6.18,2.46,4.29,2.82,7.05,1.64,3.85,2.74
parapluie,umbrella,4.08,2.71,3.49,2.88,4.41,2.40,3.12,2.34,3.80,2.98,3.80,3.30
parc ,park,6.59,1.48,4.51,2.47,6.47,1.50,4.76,2.63,6.70,1.49,4.30,2.36
pardon,pardon,6.82,1.62,4.46,2.19,6.25,1.04,3.88,1.96,6.89,1.66,4.52,2.22
paresseux,indolent,3.75,2.52,2.90,2.21,4.83,2.48,3.42,2.75,3.55,2.50,2.80,2.11
passion,passion,8.16,1.30,6.91,2.56,7.33,1.80,7.00,2.50,8.26,1.19,6.90,2.58
pastèque,watermelon,6.89,1.47,4.24,2.35,7.35,1.62,3.94,2.46,6.50,1.24,4.50,2.28
pâte,pasta,6.59,1.92,4.35,2.19,6.41,2.24,4.47,2.55,6.75,1.65,4.25,1.89
patins,skates,5.35,1.69,4.08,2.51,4.76,1.35,2.88,2.20,5.85,1.81,5.10,2.34
paupière,eyelid,4.97,1.28,2.68,1.96,4.59,1.37,2.82,2.19,5.30,1.13,2.55,1.79
pays,country,6.03,2.06,4.97,2.70,5.59,1.77,4.29,2.85,6.40,2.26,5.55,2.50
pêche,peach,6.22,2.08,4.24,2.73,6.94,1.71,5.65,2.40,5.60,2.21,3.05,2.46
peigne,comb,4.97,1.72,3.14,2.30,4.82,1.19,2.94,2.56,5.10,2.10,3.30,2.11
peine,distress,2.00,1.20,4.54,2.30,2.24,1.15,5.12,2.00,1.80,1.24,4.05,2.48
peinture,painting,5.84,1.88,3.61,2.11,5.88,1.93,3.94,1.95,5.81,1.89,3.33,2.24
pelle,dust pan,4.65,1.74,3.05,2.65,4.88,1.62,3.47,3.18,4.45,1.85,2.70,2.11
pelote ,ball of wool,5.03,1.44,2.73,1.90,4.94,1.39,3.00,1.77,5.10,1.52,2.50,2.01
pendule,clock,4.90,1.50,3.44,2.29,5.11,1.57,3.83,2.04,4.78,1.48,3.22,2.42
pensée,mind,6.83,1.81,4.86,2.61,7.00,1.76,4.83,3.27,6.80,1.83,4.86,2.51
pénurie,shortage,1.68,1.02,5.71,2.73,2.56,1.42,5.44,2.74,1.56,0.90,5.75,2.75
perceuse,drill,4.05,1.56,4.43,2.54,4.88,0.35,3.00,2.14,3.96,1.62,4.59,2.54
père,father,6.73,2.41,5.86,2.69,6.76,2.56,5.53,3.02,6.70,2.34,6.15,2.41
père-Noël ,Father Christmas,6.89,2.33,6.35,2.71,5.71,2.49,5.06,2.93,7.90,1.65,7.45,1.99
perroquet,parrot,6.30,1.87,4.57,2.68,7.00,1.17,5.29,2.62,5.70,2.15,3.95,2.65
petit,small,4.95,1.68,3.69,2.12,4.92,0.90,3.75,2.34,4.95,1.79,3.68,2.10
petits pois,peas,4.70,2.05,3.22,2.54,5.29,1.76,3.06,2.56,4.20,2.19,3.35,2.58
peur,fear,3.03,1.88,6.43,2.50,4.00,1.97,6.35,2.12,2.20,1.36,6.50,2.84
phénomène,phenomenon,5.39,1.03,4.70,1.91,5.67,1.12,4.33,1.87,5.35,1.02,4.75,1.93
phoque,seal,5.95,1.96,4.00,2.56,6.59,2.03,4.82,2.81,5.40,1.76,3.30,2.15
phrase,sentence,5.54,1.43,3.05,2.03,5.71,1.16,3.35,2.12,5.40,1.64,2.80,1.96
piano,piano,7.14,1.93,4.59,2.85,6.88,2.20,5.41,3.08,7.35,1.69,3.90,2.51
pièce ,coin,6.08,1.67,3.62,2.49,5.53,1.70,3.18,2.21,6.55,1.54,4.00,2.70
pied,foot,5.00,1.72,3.38,2.60,5.59,1.66,3.47,2.76,4.50,1.64,3.30,2.52
pigeon ,pigeon,4.03,2.58,3.26,2.68,4.35,2.62,3.41,2.60,3.76,2.59,3.14,2.80
pile ,battery,5.03,1.28,2.95,2.28,4.94,1.75,3.29,2.78,5.10,0.72,2.65,1.79
pince,pliers,3.71,1.69,2.87,2.18,3.71,1.49,3.47,2.35,3.71,1.87,2.38,1.96
pinceau,paintbrush,5.97,1.54,4.08,2.11,6.35,1.58,4.94,1.75,5.65,1.46,3.35,2.16
